Variable                       |Posición|Etiqueta                                                                                                |Nivel de medición|Rol    |Ancho de columna|Alineación|Formato de impresión|Formato de grabación|Valores perdidos|
ADS_MAIN_CAREGIVER_SA_2        |207     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_A_2         |208     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
ADS_MAIN_CAREGIVER_P_2         |209     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Secure_bebé                    |210     |numero de conductas seguras                                                                             |Nominal          |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
Insecure_bebé                  |211     |numero de conductas seguras                                                                             |Nominal          |Entrada|15              |Derecha   |F8.2                |F8.2                |                |
secure_bebe2                   |212     |cantidad de conductas seguras del bebe                                                                  |Escala           |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
insecure_bebe2                 |213     |cantidad de conductas no seguras del bebe                                                               |Escala           |Entrada|10              |Derecha   |F8.2                |F8.2                |                |
mirada_dic                     |214     |<ninguno>                                                                                               |Nominal          |Entrada|12              |Derecha   |F8.2                |F8.2                |                |
vocalizacion_dic               |215     |<ninguno>                                                                                               |Nominal          |Entrada|18              |Derecha   |F8.2                |F8.2                |                |
tacto_dic                      |216     |<ninguno>                                                                                               |Nominal          |Entrada|11              |Derecha   |F8.2                |F8.2                |                |
sosten_dic                     |217     |<ninguno>                                                                                               |Nominal          |Entrada|12              |Derecha   |F8.2                |F8.2                |                |
afecto_dic                     |218     |<ninguno>                                                                                               |Nominal          |Entrada|12              |Derecha   |F8.2                |F8.2                |                |
proximidad_dic                 |219     |<ninguno>                                                                                               |Nominal          |Entrada|16              |Derecha   |F8.2                |F8.2                |                |
attachment2_ads                |220     |estilo de apego recodificado                                                                            |Escala           |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
Attachment_ads                 |221     |<ninguno>                                                                                               |Nominal          |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
sensitivity                    |222     |numero de conductas sensibles 3 y 4                                                                     |Nominal          |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
sensitivity2                   |223     |cantidad de conductas sensibles de la madre recod                                                       |Escala           |Entrada|14              |Derecha   |F8.2                |F8.2                |                |
Sala_cuna                      |224     |<ninguno>                                                                                               |Nominal          |Entrada|17              |Derecha   |F8.2                |F8.2                |                |
Edad_bebé_2                    |225     |Edad bebé a primera grabación                                                                           |Escala           |Entrada|5               |Derecha   |F5                  |F5                  |                |
asistio_sc                     |226     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Fecha_vid1_EN                  |227     |Fecha primer video emociones negativas                                                                  |Escala           |Entrada|8               |Derecha   |DATE11              |DATE11              |                |
Hora_vid1_EN                   |228     |Hora primer video emociones negativas                                                                   |Escala           |Entrada|8               |Derecha   |TIME5               |TIME5               |                |
Fecha_vid2_EN                  |229     |Fecha segundo video emociones negativas                                                                 |Escala           |Entrada|8               |Derecha   |DATE11              |DATE11              |                |
Hora_vid2_EN                   |230     |Hora segundo video emociones negativas                                                                  |Escala           |Entrada|8               |Derecha   |TIME5               |TIME5               |                |
Día_asist_vid1_EN              |231     |N° días asistidos primer video Emociones Negativas                                                      |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Día_asist_vid2_EN              |232     |N° días asistidos segundo video Emociones Negativas                                                     |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Adultos_asist_vid1_EN          |233     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Niños_asist_vid1_EN            |234     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Adultos_asist_vid2_EN          |235     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Niños_asist_vid2_EN            |236     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Frec_1_EN_vid1                 |237     |Frecuencia codificación "muy negativo" video 1                                                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_2_EN_vid1                 |238     |Frecuencia codificación "negativo" video 1                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_3_EN_vid1                 |239     |Frecuencia codificación "neutral" video 1                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_4_EN_vid1                 |240     |Frecuencia codificación "positivo" video 1                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_5_EN_vid1                 |241     |Frecuencia codificación "muy positivo" video 1                                                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_6_EN_vid1                 |242     |Frecuencia codificación "indeterminado" video 1                                                         |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_1_EN_vid2                 |243     |Frecuencia codificación "muy negativo" video 2                                                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_2_EN_vid2                 |244     |Frecuencia codificación "negativo" video 2                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_3_EN_vid2                 |245     |Frecuencia codificación "neutral" video 2                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_4_EN_vid2                 |246     |Frecuencia codificación "positivo" video 2                                                              |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_5_EN_vid2                 |247     |Frecuencia codificación "muy positivo" video 2                                                          |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Frec_6_EN_vid2                 |248     |Frecuencia codificación "indeterminado" video                                                           |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |999             |
Prop_1y2_vid1                  |249     |Proporción de emoción negativa y muy negativa del total de segundos obs. Video 1                        |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Prop_1y2_vid2                  |250     |Proporción de emoción negativa y muy negativa del total de segundos obs. Video 2                        |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Prop_3_vid1                    |251     |Proporción neutros del total de segundos observados Video 1                                             |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Prop_3_vid2                    |252     |Proporción neutros del total de segundos observados Video 2                                             |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Prop_4y5_vid1                  |253     |Proporción de emoción positiva y muy positiva del total de segundos obs. Video 1                        |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Prop_4y5_vid2                  |254     |Proporción de emoción positiva y muy positiva del total  de segundos obs. Video 2                       |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Muestra_pelo                   |255     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Fecha_muestrapelo              |256     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Fecha_ITERS                    |257     |date of the ITERS-R observation                                                                         |Escala           |Entrada|19              |Derecha   |EDATE10             |EDATE10             |                |
Fecha_nac_joven                |258     |date of birthday of the youngest child registered                                                       |Escala           |Entrada|16              |Derecha   |EDATE10             |EDATE10             |                |
Edad_joven_ITERS               |259     |edad del niño más joven observado iters                                                                 |Escala           |Entrada|14              |Derecha   |F5                  |F5                  |                |
Fecha_nac_viejo                |260     |date of birthday of the oldest child registered                                                         |Escala           |Entrada|16              |Derecha   |EDATE10             |EDATE10             |                |
Edad_viejo_ITERS               |261     |edad del niño más viejo observado iters                                                                 |Escala           |Entrada|5               |Derecha   |F5                  |F5                  |                |
Número_adultos                 |262     |number of caregiver during the observation ITERS                                                        |Nominal          |Entrada|14              |Derecha   |F8                  |F8                  |                |
Num_niños_inscritos            |263     |number of children registered in the classroom ITERS                                                    |Escala           |Entrada|12              |Derecha   |F8                  |F8                  |                |
Num_niños_max                  |264     |maximum number of children admitted ITERS                                                               |Escala           |Entrada|18              |Derecha   |F8                  |F8                  |                |
Num_niños_observados           |265     |number of children presents during the observation ITERS                                                |Nominal          |Entrada|21              |Derecha   |F8                  |F8                  |                |
Edad_educadora                 |266     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Años_servicio                  |267     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Tiempo_salacuna                |268     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
VAR00003                       |269     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
VAR00002                       |270     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ITERS_1                        |271     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_2                        |272     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_3                        |273     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_4                        |274     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_5                        |275     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_6                        |276     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_7                        |277     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_8                        |278     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_9                        |279     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_10                       |280     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_11                       |281     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_12                       |282     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_13                       |283     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_14                       |284     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_15                       |285     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_16                       |286     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_17                       |287     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_18                       |288     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_19                       |289     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_20                       |290     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_21                       |291     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_22                       |292     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_23                       |293     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_24                       |294     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_25                       |295     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_26                       |296     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_27                       |297     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_28                       |298     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_29                       |299     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_30                       |300     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_31                       |301     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |999,00          |
ITERS_spaceandfurnishings      |302     |Space and Furnishings                                                                                   |Escala           |Entrada|21              |Derecha   |F8.2                |F8.2                |                |
ITERS_personalcareandroutines  |303     |Personal Care Routines                                                                                  |Escala           |Entrada|25              |Derecha   |F8.2                |F8.2                |                |
ITERS_listeningandtalking      |304     |Listening and Talking                                                                                   |Escala           |Entrada|21              |Derecha   |F8.2                |F8.2                |                |
ITERS_escucharyhablarsindoce   |305     |without item 12                                                                                         |Escala           |Entrada|23              |Derecha   |F8.2                |F8.2                |                |
ITERS_activities               |306     |without item 21&23                                                                                      |Escala           |Entrada|12              |Derecha   |F8.2                |F8.2                |                |
ITERS_interaction              |307     |<ninguno>                                                                                               |Escala           |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
ITERS_programandstructure      |308     |<ninguno>                                                                                               |Escala           |Entrada|21              |Derecha   |F8.2                |F8.2                |                |
ITERS_Total                    |309     |<ninguno>                                                                                               |Escala           |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
Ratio_ITERS                    |310     |<ninguno>                                                                                               |Escala           |Entrada|10              |Derecha   |F8.2                |F8.2                |                |
Rango_ITERS                    |311     |Rangos ITERS                                                                                            |Nominal          |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
nombre_sala_cuna_puq           |312     |<ninguno>                                                                                               |Nominal          |Entrada|17              |Derecha   |F8.2                |F8.2                |                |
cis_sens                       |313     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
cis_harsh                      |314     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
cis_detach                     |315     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
cis_permis                     |316     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
cis_total_mean                 |317     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Ratio_vid1                     |318     |Ratio video 1 Emociones Negativas                                                                       |Escala           |Entrada|12              |Derecha   |F8.2                |F8.2                |                |
Ratio_vid2                     |319     |Ratio video 2 Emociones Negativas                                                                       |Escala           |Entrada|12              |Derecha   |F8.2                |F8.2                |                |
Fecha_SSP                      |320     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |EDATE8              |EDATE8              |                |
apego_SSP                      |321     |Tipo de apego del bebé (ABC) SSP                                                                        |Nominal          |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
Apego_dic_ADS                  |322     |estilo de apego recodificado                                                                            |Escala           |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
Apego_dic_SSP                  |323     |apego seguro vs inseguro SSP                                                                            |Nominal          |Entrada|15              |Derecha   |F8.2                |F8.2                |                |
change_attachment              |324     |<ninguno>                                                                                               |Nominal          |Entrada|19              |Derecha   |F8.2                |F8.2                |                |
poschange_attachment           |325     |positive change attachment Time 1 to Time 2                                                             |Nominal          |Entrada|22              |Derecha   |F8.2                |F8.2                |                |
negchange_attachment           |326     |negative change attachment Time 1 to Time 2                                                             |Nominal          |Entrada|22              |Derecha   |F8.2                |F8.2                |                |
Edad_bebé_5                    |327     |Edad bebé en situación extraña                                                                          |Escala           |Entrada|12              |Derecha   |F5                  |F5                  |                |
Edad_madre_ssp                 |328     |mother´s age at SSP                                                                                     |Escala           |Entrada|8               |Derecha   |F5                  |F5                  |                |
Sens_cuidadora                 |329     |Sensibilidad educadora                                                                                  |Nominal          |Entrada|12              |Derecha   |F8.2                |F8.2                |                |
Bienestar_gral                 |330     |Bienestar general del bebé                                                                              |Nominal          |Entrada|10              |Derecha   |F8.2                |F8.2                |                |
sensitivity_ADS_rec            |331     |cantidad de conductas sensibles de la madre recod                                                       |Escala           |Entrada|14              |Derecha   |F8.2                |F8.2                |                |
ASQ_12_1                       |332     |¿Se ríe o se sonríe su bebé con usted y con otros miembros de la familia?                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_2                       |333     |¿Le busca su bebé a usted cuando un desconocido se acerca?                                              |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_3                       |334     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_4                       |335     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_5                       |336     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_6                       |337     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_7                       |338     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_8                       |339     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_9                       |340     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_10                      |341     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_11                      |342     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_12                      |343     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_13                      |344     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_14                      |345     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_15                      |346     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_16                      |347     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_17                      |348     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_18                      |349     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_19                      |350     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_20                      |351     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_21                      |352     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12_22                      |353     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_12                         |354     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Items_ASQ_sin_responder        |355     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Filtro_Sin_Respuesta           |356     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Total_ASQ                      |357     |<ninguno>                                                                                               |Escala           |Entrada|11              |Derecha   |F8.2                |F8.2                |                |
ASQ_6_1                        |358     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_2                        |359     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_3                        |360     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_4                        |361     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_5                        |362     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_6                        |363     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_7                        |364     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_8                        |365     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_9                        |366     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_10                       |367     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_11                       |368     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_12                       |369     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_13                       |370     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_14                       |371     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_15                       |372     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_16                       |373     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_17                       |374     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_18                       |375     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
ASQ_6_19                       |376     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Prop_negativas_total           |377     |<ninguno>                                                                                               |Escala           |Entrada|22              |Derecha   |F8.2                |F8.2                |                |
Prop_neutras_total             |378     |<ninguno>                                                                                               |Escala           |Entrada|20              |Derecha   |F8.2                |F8.2                |                |
Prop_positivas_total           |379     |<ninguno>                                                                                               |Escala           |Entrada|22              |Derecha   |F8.2                |F8.2                |                |
filter_$                       |380     |BienestarV1 >= 1 (FILTER)                                                                               |Nominal          |Entrada|10              |Derecha   |F1                  |F1                  |                |
outliers                       |381     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Sum_emocneg                    |382     |<ninguno>                                                                                               |Escala           |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
Sum_emocpos                    |383     |<ninguno>                                                                                               |Nominal          |Entrada|13              |Derecha   |F8.2                |F8.2                |                |
Diada                          |384     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8                  |F8                  |                |
Muestra_saliva                 |385     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Fecha_muestra1                 |386     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |DATE11              |DATE11              |                |
Fecha_muestra2                 |387     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |DATE11              |DATE11              |                |
Fecha_muestra3                 |388     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |DATE11              |DATE11              |                |
Fecha_muestra4                 |389     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |DATE11              |DATE11              |                |
Hora_muestra1                  |390     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |TIME5               |TIME5               |                |
Hora_muestra2                  |391     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |TIME5               |TIME5               |                |
Hora_muestra3                  |392     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |TIME5               |TIME5               |                |
Hora_muestra4                  |393     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |TIME5               |TIME5               |                |
Act_fisica_1                   |394     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Act_fisica_2                   |395     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Act_fisica_3                   |396     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Act_fisica_4                   |397     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Siesta_1                       |398     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Siesta_2                       |399     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Siesta_3                       |400     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Siesta_4                       |401     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Medicamentos_1                 |402     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Medicamentos_2                 |403     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Medicamentos_3                 |404     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Medicamentos_4                 |405     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Herida_bucal_1                 |406     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Herida_bucal_2                 |407     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Herida_bucal_3                 |408     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Herida_bucal_4                 |409     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Estado_animo_1                 |410     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Estado_animo_2                 |411     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Estado_animo_3                 |412     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Estado_animo_4                 |413     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Tipo_parto                     |414     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Peso_nac_grs                   |415     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8                  |F8                  |                |
Semanas_gestacion              |416     |<ninguno>                                                                                               |Escala           |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Complicaciones_parto_niño      |417     |<ninguno>                                                                                               |Nominal          |Entrada|14              |Derecha   |F8.2                |F8.2                |                |
Complicaciones_parto_madre     |418     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Dias_hosp_nac_niño             |419     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Dias_hosp_nac_madre            |420     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Lactancia_mat                  |421     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Tiempo_lactancia_meses         |422     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
Cambio_rutina                  |423     |<ninguno>                                                                                               |Nominal          |Entrada|8               |Derecha   |F8.2                |F8.2                |                |
